날짜,고용형태,값,나이구분
2021,총근로일수 (일),17.0,전체
2021,총근로시간 (시간),115.0,전체
2021,소정실근로시간 (시간),112.0,전체
2021,초과근로시간 (시간),4.0,전체
2021,휴일근로시간 (시간),1.0,전체
2021,시간당임금총액 (원),15482.0,전체
2021,시간당정액급여 (원),15188.0,전체
2021,월임금총액 (천원),1681.0,전체
2021,월급여액 (천원),1649.0,전체
2021,정액급여 (천원),1583.0,전체
2021,초과급여 (천원),67.0,전체
2021,전년도 연간특별급여/12개월 (천원),31.0,전체
2021,전년도 연간특별급여 (천원),375.0,전체
2022,총근로일수 (일),16.0,전체
2022,총근로시간 (시간),112.0,전체
2022,소정실근로시간 (시간),107.0,전체
2022,초과근로시간 (시간),4.0,전체
2022,휴일근로시간 (시간),1.0,전체
2022,시간당임금총액 (원),17233.0,전체
2022,시간당정액급여 (원),16826.0,전체
2022,월임금총액 (천원),1826.0,전체
2022,월급여액 (천원),1782.0,전체
2022,정액급여 (천원),1699.0,전체
2022,초과급여 (천원),83.0,전체
2022,전년도 연간특별급여/12개월 (천원),44.0,전체
2022,전년도 연간특별급여 (천원),531.0,전체
2021,총근로일수 (일),16.0,29세이하
2021,총근로시간 (시간),108.0,29세이하
2021,소정실근로시간 (시간),103.0,29세이하
2021,초과근로시간 (시간),5.0,29세이하
2021,휴일근로시간 (시간),1.0,29세이하
2021,시간당임금총액 (원),11764.0,29세이하
2021,시간당정액급여 (원),11559.0,29세이하
2021,월임금총액 (천원),1298.0,29세이하
2021,월급여액 (천원),1285.0,29세이하
2021,정액급여 (천원),1208.0,29세이하
2021,초과급여 (천원),77.0,29세이하
2021,전년도 연간특별급여/12개월 (천원),14.0,29세이하
2021,전년도 연간특별급여 (천원),162.0,29세이하
2022,총근로일수 (일),15.0,29세이하
2022,총근로시간 (시간),106.0,29세이하
2022,소정실근로시간 (시간),100.0,29세이하
2022,초과근로시간 (시간),5.0,29세이하
2022,휴일근로시간 (시간),2.0,29세이하
2022,시간당임금총액 (원),13176.0,29세이하
2022,시간당정액급여 (원),12840.0,29세이하
2022,월임금총액 (천원),1446.0,29세이하
2022,월급여액 (천원),1421.0,29세이하
2022,정액급여 (천원),1322.0,29세이하
2022,초과급여 (천원),99.0,29세이하
2022,전년도 연간특별급여/12개월 (천원),24.0,29세이하
2022,전년도 연간특별급여 (천원),293.0,29세이하
2021,총근로일수 (일),18.0,30~39세
2021,총근로시간 (시간),133.0,30~39세
2021,소정실근로시간 (시간),126.0,30~39세
2021,초과근로시간 (시간),8.0,30~39세
2021,휴일근로시간 (시간),2.0,30~39세
2021,시간당임금총액 (원),16593.0,30~39세
2021,시간당정액급여 (원),16104.0,30~39세
2021,월임금총액 (천원),2042.0,30~39세
2021,월급여액 (천원),1990.0,30~39세
2021,정액급여 (천원),1861.0,30~39세
2021,초과급여 (천원),129.0,30~39세
2021,전년도 연간특별급여/12개월 (천원),52.0,30~39세
2021,전년도 연간특별급여 (천원),629.0,30~39세
2022,총근로일수 (일),17.0,30~39세
2022,총근로시간 (시간),127.0,30~39세
2022,소정실근로시간 (시간),119.0,30~39세
2022,초과근로시간 (시간),8.0,30~39세
2022,휴일근로시간 (시간),2.0,30~39세
2022,시간당임금총액 (원),18427.0,30~39세
2022,시간당정액급여 (원),17819.0,30~39세
2022,월임금총액 (천원),2186.0,30~39세
2022,월급여액 (천원),2119.0,30~39세
2022,정액급여 (천원),1973.0,30~39세
2022,초과급여 (천원),145.0,30~39세
2022,전년도 연간특별급여/12개월 (천원),67.0,30~39세
2022,전년도 연간특별급여 (천원),805.0,30~39세
2021,총근로일수 (일),17.0,40~49세
2021,총근로시간 (시간),113.0,40~49세
2021,소정실근로시간 (시간),110.0,40~49세
2021,초과근로시간 (시간),3.0,40~49세
2021,휴일근로시간 (시간),1.0,40~49세
2021,시간당임금총액 (원),17765.0,40~49세
2021,시간당정액급여 (원),17409.0,40~49세
2021,월임금총액 (천원),1839.0,40~49세
2021,월급여액 (천원),1794.0,40~49세
2021,정액급여 (천원),1733.0,40~49세
2021,초과급여 (천원),60.0,40~49세
2021,전년도 연간특별급여/12개월 (천원),45.0,40~49세
2021,전년도 연간특별급여 (천원),542.0,40~49세
2022,총근로일수 (일),16.0,40~49세
2022,총근로시간 (시간),110.0,40~49세
2022,소정실근로시간 (시간),106.0,40~49세
2022,초과근로시간 (시간),4.0,40~49세
2022,휴일근로시간 (시간),1.0,40~49세
2022,시간당임금총액 (원),19625.0,40~49세
2022,시간당정액급여 (원),19059.0,40~49세
2022,월임금총액 (천원),2010.0,40~49세
2022,월급여액 (천원),1940.0,40~49세
2022,정액급여 (천원),1858.0,40~49세
2022,초과급여 (천원),83.0,40~49세
2022,전년도 연간특별급여/12개월 (천원),70.0,40~49세
2022,전년도 연간특별급여 (천원),839.0,40~49세
2021,총근로일수 (일),16.0,50~59세
2021,총근로시간 (시간),109.0,50~59세
2021,소정실근로시간 (시간),107.0,50~59세
2021,초과근로시간 (시간),2.0,50~59세
2021,휴일근로시간 (시간),0.0,50~59세
2021,시간당임금총액 (원),17425.0,50~59세
2021,시간당정액급여 (원),17143.0,50~59세
2021,월임금총액 (천원),1773.0,50~59세
2021,월급여액 (천원),1738.0,50~59세
2021,정액급여 (천원),1697.0,50~59세
2021,초과급여 (천원),40.0,50~59세
