날짜,고용형태,값,나이구분
2021,총근로일수 (일),20.0,전체
2021,총근로시간 (시간),160.0,전체
2021,소정실근로시간 (시간),160.0,전체
2021,초과근로시간 (시간),10.0,전체
2021,휴일근로시간 (시간),0.0,전체
2021,시간당임금총액 (원),19810.0,전체
2021,시간당정액급여 (원),17930.0,전체
2021,월임금총액 (천원),3270.0,전체
2021,월급여액 (천원),2970.0,전체
2021,정액급여 (천원),2820.0,전체
2021,초과급여 (천원),160.0,전체
2021,전년도 연간특별급여/12개월 (천원),300.0,전체
2021,전년도 연간특별급여 (천원),3570.0,전체
2022,총근로일수 (일),20.0,전체
2022,총근로시간 (시간),150.0,전체
2022,소정실근로시간 (시간),150.0,전체
2022,초과근로시간 (시간),10.0,전체
2022,휴일근로시간 (시간),0.0,전체
2022,시간당임금총액 (원),22650.0,전체
2022,시간당정액급여 (원),20310.0,전체
2022,월임금총액 (천원),3530.0,전체
2022,월급여액 (천원),3170.0,전체
2022,정액급여 (천원),2990.0,전체
2022,초과급여 (천원),180.0,전체
2022,전년도 연간특별급여/12개월 (천원),360.0,전체
2022,전년도 연간특별급여 (천원),4260.0,전체
2021,총근로일수 (일),20.0,29세이하
2021,총근로시간 (시간),160.0,29세이하
2021,소정실근로시간 (시간),150.0,29세이하
2021,초과근로시간 (시간),10.0,29세이하
2021,휴일근로시간 (시간),0.0,29세이하
2021,시간당임금총액 (원),14230.0,29세이하
2021,시간당정액급여 (원),13290.0,29세이하
2021,월임금총액 (천원),2260.0,29세이하
2021,월급여액 (천원),2130.0,29세이하
2021,정액급여 (천원),2000.0,29세이하
2021,초과급여 (천원),130.0,29세이하
2021,전년도 연간특별급여/12개월 (천원),130.0,29세이하
2021,전년도 연간특별급여 (천원),1590.0,29세이하
2022,총근로일수 (일),20.0,29세이하
2022,총근로시간 (시간),150.0,29세이하
2022,소정실근로시간 (시간),140.0,29세이하
2022,초과근로시간 (시간),10.0,29세이하
2022,휴일근로시간 (시간),0.0,29세이하
2022,시간당임금총액 (원),16250.0,29세이하
2022,시간당정액급여 (원),15000.0,29세이하
2022,월임금총액 (천원),2470.0,29세이하
2022,월급여액 (천원),2300.0,29세이하
2022,정액급여 (천원),2140.0,29세이하
2022,초과급여 (천원),160.0,29세이하
2022,전년도 연간특별급여/12개월 (천원),170.0,29세이하
2022,전년도 연간특별급여 (천원),2030.0,29세이하
2021,총근로일수 (일),20.0,30~39세
2021,총근로시간 (시간),170.0,30~39세
2021,소정실근로시간 (시간),170.0,30~39세
2021,초과근로시간 (시간),10.0,30~39세
2021,휴일근로시간 (시간),0.0,30~39세
2021,시간당임금총액 (원),20180.0,30~39세
2021,시간당정액급여 (원),17990.0,30~39세
2021,월임금총액 (천원),3490.0,30~39세
2021,월급여액 (천원),3140.0,30~39세
2021,정액급여 (천원),2940.0,30~39세
2021,초과급여 (천원),190.0,30~39세
2021,전년도 연간특별급여/12개월 (천원),350.0,30~39세
2021,전년도 연간특별급여 (천원),4200.0,30~39세
2022,총근로일수 (일),20.0,30~39세
2022,총근로시간 (시간),160.0,30~39세
2022,소정실근로시간 (시간),150.0,30~39세
2022,초과근로시간 (시간),10.0,30~39세
2022,휴일근로시간 (시간),0.0,30~39세
2022,시간당임금총액 (원),22990.0,30~39세
2022,시간당정액급여 (원),20240.0,30~39세
2022,월임금총액 (천원),3710.0,30~39세
2022,월급여액 (천원),3300.0,30~39세
2022,정액급여 (천원),3090.0,30~39세
2022,초과급여 (천원),210.0,30~39세
2022,전년도 연간특별급여/12개월 (천원),410.0,30~39세
2022,전년도 연간특별급여 (천원),4970.0,30~39세
2021,총근로일수 (일),20.0,40~49세
2021,총근로시간 (시간),170.0,40~49세
2021,소정실근로시간 (시간),160.0,40~49세
2021,초과근로시간 (시간),10.0,40~49세
2021,휴일근로시간 (시간),0.0,40~49세
2021,시간당임금총액 (원),22700.0,40~49세
2021,시간당정액급여 (원),20210.0,40~49세
2021,월임금총액 (천원),3850.0,40~49세
2021,월급여액 (천원),3450.0,40~49세
2021,정액급여 (천원),3260.0,40~49세
2021,초과급여 (천원),180.0,40~49세
2021,전년도 연간특별급여/12개월 (천원),410.0,40~49세
2021,전년도 연간특별급여 (천원),4880.0,40~49세
2022,총근로일수 (일),20.0,40~49세
2022,총근로시간 (시간),160.0,40~49세
2022,소정실근로시간 (시간),150.0,40~49세
2022,초과근로시간 (시간),10.0,40~49세
2022,휴일근로시간 (시간),0.0,40~49세
2022,시간당임금총액 (원),26270.0,40~49세
2022,시간당정액급여 (원),23060.0,40~49세
2022,월임금총액 (천원),4200.0,40~49세
2022,월급여액 (천원),3700.0,40~49세
2022,정액급여 (천원),3480.0,40~49세
2022,초과급여 (천원),210.0,40~49세
2022,전년도 연간특별급여/12개월 (천원),500.0,40~49세
2022,전년도 연간특별급여 (천원),5990.0,40~49세
2021,총근로일수 (일),20.0,50~59세
2021,총근로시간 (시간),160.0,50~59세
2021,소정실근로시간 (시간),160.0,50~59세
2021,초과근로시간 (시간),10.0,50~59세
2021,휴일근로시간 (시간),0.0,50~59세
2021,시간당임금총액 (원),21950.0,50~59세
2021,시간당정액급여 (원),19660.0,50~59세
2021,월임금총액 (천원),3610.0,50~59세
2021,월급여액 (천원),3240.0,50~59세
2021,정액급여 (천원),3080.0,50~59세
2021,초과급여 (천원),160.0,50~59세
2021,전년도 연간특별급여/12개월 (천원),370.0,50~59세
2021,전년도 연간특별급여 (천원),4430.0,50~59세
2022,총근로일수 (일),20.0,50~59세
2022,총근로시간 (시간),160.0,50~59세
2022,소정실근로시간 (시간),150.0,50~59세
2022,초과근로시간 (시간),10.0,50~59세
2022,휴일근로시간 (시간),0.0,50~59세
2022,시간당임금총액 (원),25140.0,50~59세
2022,시간당정액급여 (원),22320.0,50~59세
2022,월임금총액 (천원),3910.0,50~59세
2022,월급여액 (천원),3480.0,50~59세
2022,정액급여 (천원),3280.0,50~59세
2022,초과급여 (천원),200.0,50~59세
2022,전년도 연간특별급여/12개월 (천원),430.0,50~59세
2022,전년도 연간특별급여 (천원),5200.0,50~59세
2021,총근로일수 (일),20.0,60세이상
2021,총근로시간 (시간),150.0,60세이상
2021,소정실근로시간 (시간),150.0,60세이상
2021,초과근로시간 (시간),0.0,60세이상
2021,휴일근로시간 (시간),0.0,60세이상
2021,시간당임금총액 (원),17070.0,60세이상
2021,시간당정액급여 (원),16430.0,60세이상
2021,월임금총액 (천원),2510.0,60세이상
2021,월급여액 (천원),2420.0,60세이상
2021,정액급여 (천원),2350.0,60세이상
2021,초과급여 (천원),70.0,60세이상
2021,전년도 연간특별급여/12개월 (천원),90.0,60세이상
2021,전년도 연간특별급여 (천원),1100.0,60세이상
2022,총근로일수 (일),20.0,60세이상
2022,총근로시간 (시간),140.0,60세이상
2022,소정실근로시간 (시간),140.0,60세이상
2022,초과근로시간 (시간),0.0,60세이상
2022,휴일근로시간 (시간),0.0,60세이상
2022,시간당임금총액 (원),18900.0,60세이상
2022,시간당정액급여 (원),18200.0,60세이상
2022,월임금총액 (천원),2640.0,60세이상
2022,월급여액 (천원),2550.0,60세이상
2022,정액급여 (천원),2460.0,60세이상
2022,초과급여 (천원),80.0,60세이상
2022,전년도 연간특별급여/12개월 (천원),100.0,60세이상
2022,전년도 연간특별급여 (천원),1180.0,60세이상
